Address,City,Province,Postal Code,City Assessment 2024,Sold Price,Sold Date,Last Estimated Price,Last Estimated Date,URL
915 87 AVENUE SW,Calgary,Alberta,T2V0W2,478000,94000,1989-07-18T00:00:00.000Z,601900,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/915-87-avenue-sw-calgary-ab
1336 87 AVENUE SW,Calgary,Alberta,T2V0W3,573500,,,723100,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/1336-87-avenue-sw-calgary-ab
927 87 AVENUE SW,Calgary,Alberta,T2V0W2,867500,175000,1999-07-05T00:00:00.000Z,999700,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/927-87-avenue-sw-calgary-ab
920 87 AVENUE SW,Calgary,Alberta,T2V0W1,596000,454000,2022-06-23T00:00:00.000Z,717300,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/920-87-avenue-sw-calgary-ab
8728 11 STREET SW,Calgary,Alberta,T2V1N6,693500,563100,2021-07-14T00:00:00.000Z,829400,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/8728-11-street-sw-calgary-ab
65 KIRBY PLACE SW,Calgary,Alberta,T2V2K7,799000,510000,2013-10-31T00:00:00.000Z,918400,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/65-kirby-place-sw-calgary-ab
18 HARVEY PLACE SW,Calgary,Alberta,T2V3A5,568500,,1984-05-10T00:00:00.000Z,702200,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/18-harvey-place-sw-calgary-ab
736 80 AVENUE SW,Calgary,Alberta,T2V0V1,711000,640000,2014-11-06T00:00:00.000Z,769600,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/736-80-avenue-sw-calgary-ab
212 HAYSBORO CRESCENT SW,Calgary,Alberta,T2V3G3,572000,300000,2008-12-09T00:00:00.000Z,711100,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/212-haysboro-crescent-sw-calgary-ab
29 KENTISH DRIVE SW,Calgary,Alberta,T2V2L4,634000,660000,2023-11-24T00:00:00.000Z,694800,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/29-kentish-drive-sw-calgary-ab
35 KIRBY PLACE SW,Calgary,Alberta,T2V2K5,603500,,2014-02-03T00:00:00.000Z,733000,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/35-kirby-place-sw-calgary-ab
